shift,date,age,latitude,longitude,primary_fur_color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,unique_squirrel_id
PM,2018-10-14 00:00:00,,40.7940823884086,-73.9561344937861,,,,false,false,false,false,false,,false,false,false,false,false,false,false,false,37F-PM-1014-03
PM,2018-10-06 00:00:00,Adult,40.7948509408039,-73.9570437717691,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,true,37E-PM-1006-03
AM,2018-10-10 00:00:00,Adult,40.7667178072558,-73.9768311751004,Cinnamon,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,true,false,2E-AM-1010-03
PM,2018-10-18 00:00:00,Juvenile,40.7697032606755,-73.9757249834141,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,true,5D-PM-1018-05
AM,2018-10-18 00:00:00,,40.797533370163,-73.9593126695714,,Above Ground,,false,false,false,false,false,unknown,true,false,false,false,false,false,false,false,39B-AM-1018-01
AM,2018-10-19 00:00:00,Juvenile,40.7902561000937,-73.9565700386162,Gray,Ground Plane,,false,false,false,false,false,wrestling with mother,false,false,false,false,false,false,false,false,33H-AM-1019-02
PM,2018-10-20 00:00:00,Adult,40.7693045133578,-73.9719735582476,Gray,Ground Plane,,true,true,false,false,false,,false,false,false,false,false,false,true,false,6G-PM-1020-02
PM,2018-10-13 00:00:00,,40.7942883045566,-73.9602609920814,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,true,35C-PM-1013-03
AM,2018-10-08 00:00:00,Adult,40.7729752391435,-73.9770718586754,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,7B-AM-1008-09
PM,2018-10-17 00:00:00,Adult,40.7903128889029,-73.9596413903948,Gray,,,false,false,false,true,true,,false,false,false,false,false,false,false,true,32E-PM-1017-14
AM,2018-10-17 00:00:00,Adult,40.7762126854894,-73.9702676472613,Gray,Above Ground,on tree stump,false,false,false,false,true,,false,false,false,false,false,false,false,false,13E-AM-1017-05
AM,2018-10-10 00:00:00,Adult,40.7725908847499,-73.9683613516225,Cinnamon,,,false,false,false,false,true,,false,false,false,false,true,false,true,false,11H-AM-1010-03
AM,2018-10-10 00:00:00,Adult,40.7931811701082,-73.9541201789795,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,false,36H-AM-1010-02
AM,2018-10-08 00:00:00,Adult,40.7917367820255,-73.9582694312289,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,33F-AM-1008-02
PM,2018-10-06 00:00:00,Adult,40.7829723919744,-73.9674285955293,Gray,Ground Plane,,false,false,false,false,false,,false,false,false,true,true,false,false,false,21C-PM-1006-01
AM,2018-10-10 00:00:00,Adult,40.7742879599026,-73.9722500196844,Gray,Above Ground,,false,false,true,false,false,grooming,false,false,false,false,false,false,true,false,11D-AM-1010-03
PM,2018-10-13 00:00:00,Adult,40.7823507678183,-73.9695063535333,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,20B-PM-1013-05
PM,2018-10-07 00:00:00,Adult,40.7919669739962,-73.9532170504865,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,36I-PM-1007-01
PM,2018-10-10 00:00:00,Adult,40.7702795904962,-73.9768603630674,Cinnamon,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,false,5C-PM-1010-09
AM,2018-10-06 00:00:00,Adult,40.7698124821507,-73.9706105896967,Gray,Above Ground,,false,true,false,false,false,,false,false,false,false,false,false,true,false,7H-AM-1006-05
PM,2018-10-18 00:00:00,Adult,40.7787526130321,-73.9703781726172,Gray,Above Ground,,true,false,false,true,true,,false,false,false,false,false,false,true,false,16C-PM-1018-03
AM,2018-10-08 00:00:00,Adult,40.7765032004992,-73.9703925210471,Gray,Ground Plane,,false,false,false,false,true,walking,false,false,false,false,false,false,true,false,14E-AM-1008-23
PM,2018-10-13 00:00:00,Juvenile,40.7924173263904,-73.9638179439747,Gray,Ground Plane,,false,false,false,true,false,,false,false,false,false,false,false,true,false,32A-PM-1013-03
AM,2018-10-08 00:00:00,Adult,40.7913812490557,-73.9584070974734,Gray,Ground Plane,,false,false,false,false,false,moving slowly,false,false,false,false,false,false,true,false,33F-AM-1008-01
AM,2018-10-07 00:00:00,Adult,40.7784859700171,-73.9671130680114,Gray,Above Ground,,true,false,false,false,false,,false,false,false,true,false,false,true,false,17F-AM-1007-07
AM,2018-10-08 00:00:00,Adult,40.7764929694457,-73.9649866016038,Cinnamon,Ground Plane,,false,false,false,false,true,,false,false,false,false,true,false,true,false,16I-AM-1008-01
AM,2018-10-13 00:00:00,Adult,40.7734991420941,-73.9670628558161,Cinnamon,Ground Plane,on tree roots,false,false,false,false,false,sitting,false,false,false,false,true,false,false,true,12I-AM-1013-01
PM,2018-10-08 00:00:00,Adult,40.7908524370626,-73.958736593111,Gray,Ground Plane,,true,true,false,false,true,,false,false,false,false,false,false,true,false,32F-PM-1008-07
AM,2018-10-13 00:00:00,,40.7867352791232,-73.9671786715256,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,true,25A-AM-1013-04
AM,2018-10-13 00:00:00,Adult,40.7769536102488,-73.9692943291611,Gray,Ground Plane,,true,false,false,false,true,,false,false,false,false,false,false,false,false,15E-AM-1013-01
PM,2018-10-13 00:00:00,Adult,40.7952445999836,-73.9540054100539,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,false,39G-PM-1013-06
PM,2018-10-07 00:00:00,,40.7868659490397,-73.9576530157255,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,false,false,false,false,false,29I-PM-1007-01
AM,2018-10-06 00:00:00,Adult,40.7711846894166,-73.9738033257473,Gray,Ground Plane,under a tree,false,false,false,true,false,,false,false,false,false,false,false,false,false,7E-AM-1006-02
PM,2018-10-13 00:00:00,Adult,40.7798965621203,-73.9704402681017,Gray,Ground Plane,,false,false,false,true,false,eating (ate upside down on a tree — #jealous),false,false,false,false,false,false,true,false,17C-PM-1013-05
PM,2018-10-14 00:00:00,Adult,40.7753897331918,-73.9756976076707,Gray,Ground Plane,in b/w trees,false,false,false,false,true,,false,false,false,false,true,false,true,false,10A-PM-1014-01
PM,2018-10-07 00:00:00,Adult,40.7890381809441,-73.9662438996681,Cinnamon,Ground Plane,,true,false,false,false,true,,false,false,false,false,true,false,false,true,28A-PM-1007-05
PM,2018-10-14 00:00:00,Adult,40.7820818516957,-73.9643153920428,Gray,Ground Plane,,false,false,false,false,false,,false,false,false,false,false,false,false,false,22F-PM-1014-05
AM,2018-10-07 00:00:00,Adult,40.7757957380463,-73.9742073452913,Gray,Ground Plane,,false,true,false,false,false,,false,false,false,true,false,false,true,false,12B-AM-1007-01
PM,2018-10-18 00:00:00,Adult,40.7813911036179,-73.9716147061553,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false,18A-PM-1018-01
PM,2018-10-08 00:00:00,Adult,40.7928711760061,-73.9535410657077,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,36H-PM-1008-02
AM,2018-10-07 00:00:00,Adult,40.7891774637988,-73.9639159298446,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,true,29C-AM-1007-06
PM,2018-10-14 00:00:00,Adult,40.7959337795027,-73.9579564338627,Black,Ground Plane,,false,false,false,true,false,,false,false,false,false,false,true,false,false,38C-PM-1014-09
PM,2018-10-08 00:00:00,Juvenile,40.7892508428622,-73.9574648097543,Gray,Above Ground,,true,false,true,false,false,,false,false,false,false,true,false,true,false,31H-PM-1008-02
AM,2018-10-17 00:00:00,Adult,40.7705999588222,-73.970252675331,Gray,Above Ground,,false,true,false,true,false,,false,false,false,false,false,false,true,false,8H-AM-1017-06
